:START_ID,:END_ID,:TYPE,ratio,method
Mark.14.10,Matthew.26.14,QUOTES,94,string_match
Mark.14.11,Luke.22.5,QUOTES,92,string_match
Mark.14.12,Matthew.26.17,QUOTES,93,string_match
Mark.14.19,Matthew.26.22,QUOTES,95,string_match
Mark.14.21,Matthew.26.24,QUOTES,99,string_match
Mark.14.22,Matthew.26.26,QUOTES,98,string_match
Mark.14.26,Matthew.26.30,QUOTES,100,string_match
Mark.14.27,Matthew.26.31,QUOTES,97,string_match
Mark.14.28,Matthew.26.32,QUOTES,100,string_match
Mark.14.30,Matthew.26.34,QUOTES,93,string_match
Mark.14.34,Matthew.26.38,QUOTES,97,string_match
Mark.14.38,Matthew.26.41,QUOTES,100,string_match
Mark.14.40,Matthew.26.43,QUOTES,100,string_match
Mark.14.42,Matthew.26.46,QUOTES,97,string_match
Mark.14.43,Matthew.26.47,QUOTES,92,string_match
Mark.14.44,Matthew.26.48,QUOTES,96,string_match
Mark.14.45,Matthew.26.49,QUOTES,100,string_match
Mark.14.46,Matthew.26.50,QUOTES,100,string_match
Mark.14.47,Matthew.26.51,QUOTES,93,string_match
Mark.14.48,Matthew.26.55,QUOTES,96,string_match
Mark.14.56,Mark.14.59,QUOTES,93,string_match
Mark.14.59,Mark.14.56,QUOTES,93,string_match
Mark.14.60,Matthew.26.62,QUOTES,94,string_match
Mark.14.63,Matthew.26.65,QUOTES,100,string_match
Mark.14.72,Luke.20.30,QUOTES,100,string_match
Mark.14.72,John.11.35,QUOTES,100,string_match
Mark.15.2,Luke.23.3,QUOTES,95,string_match
Mark.15.14,Matthew.27.23,QUOTES,100,string_match
Mark.15.15,Matthew.27.26,QUOTES,98,string_match
Mark.15.17,John.19.2,QUOTES,92,string_match
Mark.15.20,Matthew.27.31,QUOTES,97,string_match
Mark.15.29,Matthew.27.39,QUOTES,100,string_match
